method,p_order_mean,p_order_median,p_order_std,q_order_mean,q_order_median,q_order_std,mean_time,median_time,sd_time,n_models_tested_mean,n_models_tested_median,n_models_tested_std
grid_search,3.19,3.0,2.1308309272301353,4.752,5.0,1.4389463390156587,119.45013999999996,116.4299999999995,12.588426568235763,64.0,64.0,0.0
stepwise,2.739,2.0,1.7349031353043574,1.5,1.0,1.8437460235616516,20.313359999999967,13.944999999999752,11.795112818315769,14.545,11.0,5.5852636616519895
