method     , p_order_mean, p_order_median, p_order_std      , q_order_mean, q_order_median, q_order_std       , mean_time      , median_time       , sd_time           , n_models_tested_mean, n_models_tested_median, n_models_tested_std
grid_search,        3.123,            3.0, 1.813052166419422,        6.158,            6.0, 0.7413403979182471, 383.3480475815 , 351.7504064       , 108.49602923431837,               64.0  ,                   64.0,   0.0
stepwise   ,        2.16 ,            2.0, 0.933419129475753,        3.128,            3.0, 2.163399245700224 , 248.45823592107, 202.59927249999998, 157.68634036150752,               17.325,                   16.0,   6.362692736480273
