method,p_order_mean,p_order_median,p_order_std,q_order_mean,q_order_median,q_order_std,mean_time,median_time,sd_time,n_models_tested_mean,n_models_tested_median,n_models_tested_std
grid_search,3.19,3.0,2.1308309272301353,4.752,5.0,1.4389463390156587,115.04254000000002,112.67,10.56993184498406,64.0,64.0,0.0
stepwise,1.448,1.0,0.6290402941717581,3.16,4.0,2.1645057369027882,17.62896000000001,17.08000000000125,7.238953997185846,14.269,15.0,3.9621127365759383
