"SimulationName","mean_of_counts","median_of_counts","sd_of_counts","mean_under_10","sd_under_10"
"M1",10.814535,10.7765,0.969756949609703,513.601,54.7631335827288
"M2",30.5361,30.402,2.73859391561338,1.29,2.1883072656025
