method     , mean_p, median_p, sd_p              , mean_q, median_q, sd_q             , mean_time         , median_time       , sd_time          , mean_models_tested, median_models, sd_models_tested
grid_search,  3.118,      3.0, 2.1143667010588647,  4.727,      5.0, 1.445184956868691, 84.2678240787983  , 83.31547689437866 , 7.30911850199709 ,             64.0  ,          64.0, 0.0
stepwise   ,  1.262,      1.0, 0.5344545271972551,  4.291,      4.0, 1.387170949538392, 15.136502566814423, 14.308796525001526, 4.626328434117751,             15.393,          16.0, 2.6862179298721776
