method  , sim_id, p, q  , time               , n_models, aic               , bic
stepwise,    426, 1, 4.0, 13.019551992416382 ,     14.0, 5648.081084692253 , 5682.435371645128
stepwise,    427, 1, 5.0, 15.713619947433472 ,     16.0, 5505.133616261383 , 5544.39565849324
stepwise,    428, 1, 6.0, 17.960113048553467 ,     20.0, 5992.814230585831 , 6036.98402809667
stepwise,    429, 1, 5.0, 14.80609917640686  ,     16.0, 5699.6370262396595, 5738.899068471516
stepwise,    430, 1, 6.0, 17.458622932434082 ,     19.0, 5762.983535458583 , 5807.153332969422
stepwise,    431, 1, 6.0, 17.529218912124634 ,     19.0, 5493.178954644338 , 5537.348752155177
stepwise,    432, 1, 2.0,  7.731316089630127 ,     10.0, 5583.125086182089 , 5607.663862577
stepwise,    433, 1, 4.0, 12.394088983535767 ,     14.0, 5593.464511929548 , 5627.818798882423
stepwise,    434, 2, 0.0,  8.523371934890747 ,     10.0, 5397.5478947520705, 5417.178915867999
stepwise,    435, 1, 6.0, 16.59345006942749  ,     18.0, 5553.984323995855 , 5598.1541215066945
stepwise,    436, 1, 4.0, 12.122111082077026 ,     14.0, 5645.502875216754 , 5679.857162169628
stepwise,    437, 1, 4.0, 12.558357000350952 ,     14.0, 5379.31680144284  , 5413.671088395715
stepwise,    438, 1, 5.0, 14.959522008895874 ,     16.0, 5457.912798652719 , 5497.174840884576
stepwise,    439, 2, 5.0, 18.58984398841858  ,     17.0, 5423.11773509154  , 5467.2875326023795
stepwise,    440, 1, 4.0, 12.086212873458862 ,     13.0, 5708.873826018753 , 5743.2281129716275
stepwise,    441, 3, 4.0, 23.480824947357178 ,     21.0, 5583.607330836367 , 5627.777128347206
stepwise,    442, 2, 6.0, 20.309001207351685 ,     20.0, 5439.329918882397 , 5488.407471672218
stepwise,    443, 1, 6.0, 16.74377703666687  ,     18.0, 5666.700658321018 , 5710.870455831857
stepwise,    444, 1, 1.0,  7.908138036727905 ,      9.0, 5813.232843228532 , 5832.863864344461
stepwise,    445, 1, 5.0, 13.61870288848877  ,     16.0, 5917.445007754751 , 5956.707049986608
stepwise,    446, 2, 2.0,  9.526490211486816 ,     10.0, 5642.125384735609 , 5671.571916409502
stepwise,    447, 2, 5.0, 17.95892906188965  ,     18.0, 5563.185443399185 , 5607.355240910024
stepwise,    448, 1, 5.0, 14.209165096282959 ,     16.0, 5593.538638110898 , 5632.800680342755
stepwise,    449, 1, 4.0, 11.428525924682617 ,     14.0, 5755.4188399261675, 5789.773126879042
stepwise,    450, 1, 5.0, 14.205044984817505 ,     16.0, 5569.590511709549 , 5608.852553941406
stepwise,    451, 2, 4.0, 17.673386096954346 ,     16.0, 5554.566718420249 , 5593.828760652106
stepwise,    452, 1, 2.0,  8.869797945022583 ,     10.0, 5633.209987704377 , 5657.748764099289
stepwise,    453, 1, 4.0, 12.237483978271484 ,     14.0, 5611.432093841849 , 5645.786380794723
stepwise,    454, 1, 4.0, 12.493141889572144 ,     14.0, 5203.692076051835 , 5238.04636300471
stepwise,    455, 1, 2.0,  8.756713151931763 ,     10.0, 5507.640528245222 , 5532.1793046401335
stepwise,    456, 3, 4.0, 20.952035903930664 ,     16.0, 5443.538617533299 , 5487.708415044138
stepwise,    457, 1, 5.0, 17.150460958480835 ,     16.0, 5486.091233054978 , 5525.353275286835
stepwise,    458, 2, 4.0, 17.53707790374756  ,     18.0, 5718.221680856791 , 5757.483723088648
stepwise,    459, 1, 4.0, 12.746096849441528 ,     14.0, 5591.042624275762 , 5625.396911228637
stepwise,    460, 1, 6.0, 15.449889898300171 ,     18.0, 5650.814007686786 , 5694.983805197625
stepwise,    461, 3, 4.0, 22.44073486328125  ,     21.0, 5742.289789170674 , 5786.459586681513
stepwise,    462, 1, 5.0, 13.406519174575806 ,     16.0, 5636.007549786249 , 5675.269592018106
stepwise,    463, 1, 4.0, 12.406877040863037 ,     14.0, 5598.356826358142 , 5632.711113311017
stepwise,    464, 2, 6.0, 20.400539875030518 ,     20.0, 5445.704074786728 , 5494.781627576549
stepwise,    465, 1, 4.0, 12.33939003944397  ,     14.0, 5526.349535999699 , 5560.703822952573
stepwise,    466, 1, 5.0, 14.48019814491272  ,     16.0, 5497.229820714998 , 5536.491862946855
stepwise,    467, 1, 1.0,  6.486051797866821 ,      9.0, 5986.867099288649 , 6006.498120404578
stepwise,    468, 1, 4.0, 12.521494150161743 ,     14.0, 5743.936477575906 , 5778.2907645287805
stepwise,    469, 1, 4.0, 12.400908946990967 ,     14.0, 5635.844254364063 , 5670.198541316938
stepwise,    470, 1, 4.0, 11.986033916473389 ,     14.0, 5390.049721594293 , 5424.404008547168
stepwise,    471, 1, 4.0, 12.949716091156006 ,     14.0, 5586.47164876996  , 5620.825935722834
stepwise,    472, 2, 5.0, 19.47763705253601  ,     18.0, 5626.64369093649  , 5670.813488447329
stepwise,    473, 1, 4.0, 12.38823390007019  ,     14.0, 5490.4496842901   , 5524.8039712429745
stepwise,    474, 1, 4.0, 13.009967803955078 ,     14.0, 5542.78704215766  , 5577.141329110535
stepwise,    475, 1, 4.0, 12.231911897659302 ,     13.0, 5457.35066834834  , 5491.704955301215
stepwise,    476, 1, 5.0, 15.408318042755127 ,     16.0, 5506.670754662484 , 5545.932796894341
stepwise,    477, 1, 7.0, 17.818898916244507 ,     17.0, 5316.556089891737 , 5365.633642681559
stepwise,    478, 2, 4.0, 17.921221017837524 ,     18.0, 5470.267832675854 , 5509.529874907711
stepwise,    479, 1, 5.0, 16.715275049209595 ,     17.0, 5695.938239000835 , 5735.200281232692
stepwise,    480, 1, 4.0, 13.174718856811523 ,     14.0, 5509.140547157715 , 5543.49483411059
stepwise,    481, 2, 0.0,  9.731220960617065 ,     11.0, 5525.971680410622 , 5545.602701526551
stepwise,    482, 1, 5.0, 13.850221872329712 ,     16.0, 5685.506657961739 , 5724.768700193596
stepwise,    483, 1, 4.0, 12.556516885757446 ,     14.0, 5425.747490488396 , 5460.10177744127
stepwise,    484, 1, 5.0, 13.655238151550293 ,     16.0, 5583.251566250388 , 5622.513608482245
stepwise,    485, 1, 5.0, 16.118531942367554 ,     17.0, 5532.638852772367 , 5571.9008950042235
stepwise,    486, 1, 2.0,  8.503659963607788 ,     10.0, 5420.139011518789 , 5444.6777879137
stepwise,    487, 2, 4.0, 17.95325803756714  ,     18.0, 5651.784071375484 , 5691.046113607341
stepwise,    488, 1, 6.0, 15.651777982711792 ,     18.0, 5613.801141663667 , 5657.970939174506
stepwise,    489, 1, 4.0, 12.560079097747803 ,     14.0, 5603.409059843913 , 5637.763346796788
stepwise,    490, 1, 5.0, 14.134711980819702 ,     16.0, 5385.045708436421 , 5424.307750668278
stepwise,    491, 1, 4.0, 12.321875810623169 ,     14.0, 5669.297070545818 , 5703.651357498693
stepwise,    492, 1, 6.0, 17.059165954589844 ,     18.0, 5490.917041905203 , 5535.0868394160425
stepwise,    493, 1, 4.0, 12.222459077835083 ,     14.0, 5507.165764325345 , 5541.520051278219
stepwise,    494, 2, 0.0,  9.65222692489624  ,     12.0, 5583.092116690904 , 5602.723137806833
stepwise,    495, 2, 5.0, 17.542688131332397 ,     18.0, 5590.945017976234 , 5635.114815487073
stepwise,    496, 1, 5.0, 14.364892959594727 ,     16.0, 5567.507301961012 , 5606.769344192869
stepwise,    497, 1, 4.0, 13.937280893325806 ,     14.0, 5729.13357855059  , 5763.4878655034645
stepwise,    498, 1, 5.0, 14.462660074234009 ,     16.0, 5500.585731944106 , 5539.8477741759625
stepwise,    499, 1, 4.0, 12.261559963226318 ,     14.0, 5627.3291994080855, 5661.68348636096
stepwise,    500, 2, 6.0, 21.74326801300049  ,     20.0, 5616.863000986866 , 5665.940553776687
stepwise,    501, 1, 5.0, 15.76154088973999  ,     17.0, 5557.915682417232 , 5597.177724649089
stepwise,    502, 1, 5.0, 16.158845901489258 ,     15.0, 5491.526097210145 , 5530.788139442002
stepwise,    503, 1, 5.0, 13.719262838363647 ,     16.0, 5467.178908103669 , 5506.4409503355255
stepwise,    504, 1, 5.0, 14.83226990699768  ,     16.0, 5571.316919182643 , 5610.5789614145
stepwise,    505, 1, 4.0, 12.187976121902466 ,     14.0, 5478.917286691637 , 5513.271573644512
stepwise,    506, 1, 5.0, 13.48130488395691  ,     16.0, 5633.599106481374 , 5672.861148713231
stepwise,    507, 2, 5.0, 19.858657836914062 ,     20.0, 5597.983581660157 , 5642.153379170996
stepwise,    508, 1, 6.0, 15.362589836120605 ,     18.0, 5557.804367925759 , 5601.974165436598
stepwise,    509, 2, 6.0, 27.423102140426636 ,     22.0, 5694.067347350599 , 5743.144900140421
stepwise,    510, 1, 6.0, 16.294883966445923 ,     18.0, 5543.703486925954 , 5587.873284436793
stepwise,    511, 1, 4.0, 13.083506107330322 ,     14.0, 5555.681365295407 , 5590.035652248282
stepwise,    512, 1, 4.0, 12.987802028656006 ,     14.0, 5463.804299052125 , 5498.158586005
stepwise,    513, 2, 4.0, 19.470004081726074 ,     18.0, 5515.06888141545  , 5554.330923647307
stepwise,    514, 1, 4.0, 13.727389097213745 ,     14.0, 5616.9941133695265, 5651.348400322401
stepwise,    515, 3, 5.0, 23.625200986862183 ,     17.0, 5641.756342337897 , 5690.833895127718
stepwise,    516, 1, 4.0, 12.522332906723022 ,     14.0, 5717.714380083403 , 5752.0686670362775
stepwise,    517, 1, 6.0, 17.933552026748657 ,     20.0, 5418.22465063032  , 5462.394448141159
stepwise,    518, 1, 5.0, 15.218036890029907 ,     16.0, 5701.722274799692 , 5740.984317031549
stepwise,    519, 3, 1.0, 13.472522974014282 ,     14.0, 5655.7327684855945, 5685.179300159487
stepwise,    520, 1, 5.0, 15.020648002624512 ,     16.0, 5415.714342164269 , 5454.9763843961255
stepwise,    521, 1, 4.0, 12.865640878677368 ,     14.0, 5539.074035873748 , 5573.428322826622
stepwise,    522, 1, 5.0, 13.706852912902832 ,     16.0, 5946.486041357324 , 5985.748083589181
stepwise,    523, 2, 4.0, 16.676713943481445 ,     16.0, 5679.9935588152985, 5719.255601047155
stepwise,    524, 2, 2.0,  9.633692979812622 ,     10.0, 5515.11872552344  , 5544.565257197332
stepwise,    525, 1, 4.0, 15.317916870117188 ,     14.0, 5416.711782886676 , 5451.06606983955
stepwise,    526, 1, 4.0, 13.497859954833984 ,     14.0, 5568.2612173076595, 5602.615504260534
stepwise,    527, 1, 4.0, 11.37913703918457  ,     14.0, 5680.323830182746 , 5714.678117135621
stepwise,    528, 1, 4.0, 12.16298794746399  ,     14.0, 5584.384037111569 , 5618.738324064444
stepwise,    529, 2, 0.0, 10.119505882263184 ,     12.0, 5526.841093734202 , 5546.472114850131
stepwise,    530, 1, 4.0, 12.105701208114624 ,     14.0, 5444.109404855184 , 5478.463691808059
stepwise,    531, 1, 4.0, 12.27043604850769  ,     13.0, 5594.883997037526 , 5629.2382839904
stepwise,    532, 1, 5.0, 14.352164030075073 ,     16.0, 5693.5827780679765, 5732.844820299833
