"Simulation_ID","Path_Taken"
"run_15","(2,2) IC:5811.43 -> (0,0) IC:6691.76 -> (1,0) IC:5879.35 -> (0,1) IC:Inf -> (1,1) IC:5819.99 -> (1,2) IC:5815.70 -> (2,1) IC:5812.05 -> (3,2) IC:5803.29 -> (3,1) IC:5814.05 -> (4,2) IC:5801.06 -> (4,1) IC:5811.93 -> (5,2) IC:5786.28 -> (5,1) IC:5787.75 -> (6,2) IC:5786.24 -> (6,1) IC:5785.31 -> (6,0) IC:5782.63 -> (5,0) IC:5798.89 -> (7,0) IC:5784.34 -> (7,1) IC:5786.26"
"run_16","(2,2) IC:5849.42 -> (0,0) IC:6659.28 -> (1,0) IC:5686.81 -> (0,1) IC:Inf -> (1,1) IC:5633.07 -> (2,1) IC:5632.32 -> (2,0) IC:5627.54 -> (3,0) IC:5630.42 -> (3,1) IC:5635.07"
"run_17","(2,2) IC:5658.82 -> (0,0) IC:6638.15 -> (1,0) IC:5693.28 -> (0,1) IC:Inf -> (1,1) IC:5662.77 -> (1,2) IC:5665.01 -> (2,1) IC:5663.64 -> (3,2) IC:5655.27 -> (3,1) IC:5665.81 -> (4,2) IC:5657.61 -> (3,3) IC:5668.45 -> (2,3) IC:5659.74 -> (4,1) IC:5667.28 -> (4,3) IC:5657.54"
"run_18","(2,2) IC:5579.78 -> (0,0) IC:6494.64 -> (1,0) IC:5625.15 -> (0,1) IC:Inf -> (1,1) IC:5583.37 -> (1,2) IC:5584.77 -> (2,1) IC:5583.65 -> (3,2) IC:5578.20 -> (3,1) IC:5585.42 -> (4,2) IC:5578.94 -> (3,3) IC:5582.52 -> (2,3) IC:5579.45 -> (4,1) IC:5585.29 -> (4,3) IC:5582.40"
"run_19","(2,2) IC:5643.16 -> (0,0) IC:6734.18 -> (1,0) IC:5711.53 -> (0,1) IC:Inf -> (1,1) IC:5645.65 -> (1,2) IC:5643.96 -> (2,1) IC:5641.11 -> (2,0) IC:5639.09 -> (3,0) IC:5641.16 -> (3,1) IC:5643.02"
"run_20","(2,2) IC:5758.33 -> (0,0) IC:6515.63 -> (1,0) IC:5781.25 -> (0,1) IC:6517.64 -> (1,1) IC:5770.39 -> (1,2) IC:5758.50 -> (2,1) IC:5762.84 -> (3,2) IC:5755.98 -> (3,1) IC:5761.37 -> (4,2) IC:5741.26 -> (4,1) IC:5763.26 -> (5,2) IC:5739.92 -> (5,1) IC:5740.46 -> (6,2) IC:5740.78 -> (5,3) IC:5742.33 -> (4,3) IC:5743.00 -> (6,1) IC:5740.14 -> (6,3) IC:5743.54"
"run_21","(2,2) IC:5695.86 -> (0,0) IC:6595.12 -> (1,0) IC:5726.47 -> (0,1) IC:Inf -> (1,1) IC:5700.04 -> (1,2) IC:5697.50 -> (2,1) IC:5695.82 -> (2,0) IC:5695.80 -> (3,0) IC:5694.85 -> (4,0) IC:5697.16 -> (3,1) IC:5697.02 -> (4,1) IC:5699.18"
"run_22","(2,2) IC:5551.96 -> (0,0) IC:6358.13 -> (1,0) IC:5568.19 -> (0,1) IC:6360.16 -> (1,1) IC:5559.02 -> (1,2) IC:5554.44 -> (2,1) IC:5553.91 -> (3,2) IC:5547.67 -> (3,1) IC:5553.90 -> (4,2) IC:5544.88 -> (4,1) IC:5530.81 -> (4,0) IC:5552.68 -> (5,1) IC:5521.94 -> (5,0) IC:5532.75 -> (6,1) IC:5515.98 -> (6,0) IC:5515.40 -> (7,0) IC:5514.95 -> (7,1) IC:5515.46"
"run_23","(2,2) IC:5603.28 -> (0,0) IC:6576.83 -> (1,0) IC:5640.00 -> (0,1) IC:6578.84 -> (1,1) IC:5601.77 -> (2,1) IC:5596.49 -> (2,0) IC:5595.48 -> (3,0) IC:5595.85 -> (3,1) IC:5597.72"
"run_24","(2,2) IC:5511.24 -> (0,0) IC:6383.76 -> (1,0) IC:5531.11 -> (0,1) IC:Inf -> (1,1) IC:5507.41 -> (2,1) IC:5508.89 -> (1,2) IC:5508.67 -> (0,2) IC:6388.13 -> (2,0) IC:5507.18 -> (3,0) IC:5508.77 -> (3,1) IC:5510.78"
"run_25","(2,2) IC:5542.33 -> (0,0) IC:6369.46 -> (1,0) IC:5593.69 -> (0,1) IC:Inf -> (1,1) IC:5548.58 -> (1,2) IC:5539.16 -> (0,2) IC:Inf -> (1,3) IC:5526.34 -> (0,3) IC:Inf -> (2,3) IC:5537.83 -> (1,4) IC:5522.90 -> (0,4) IC:Inf -> (2,4) IC:5520.47 -> (3,4) IC:5540.02 -> (2,5) IC:5516.82 -> (1,5) IC:5520.18 -> (3,5) IC:5535.74 -> (2,6) IC:5516.90 -> (1,6) IC:5520.06 -> (3,6) IC:5521.44"
"run_26","(2,2) IC:5657.18 -> (0,0) IC:6604.42 -> (1,0) IC:5666.86 -> (0,1) IC:Inf -> (1,1) IC:5627.11 -> (2,1) IC:5632.00 -> (1,2) IC:5628.40 -> (0,2) IC:Inf -> (2,0) IC:5628.87"
"run_27","(2,2) IC:5635.84 -> (0,0) IC:6432.01 -> (1,0) IC:5679.88 -> (0,1) IC:Inf -> (1,1) IC:5635.91 -> (1,2) IC:5634.77 -> (0,2) IC:Inf -> (1,3) IC:5597.03 -> (0,3) IC:Inf -> (2,3) IC:5631.67 -> (1,4) IC:5567.54 -> (0,4) IC:Inf -> (2,4) IC:5650.99 -> (1,5) IC:5569.71 -> (0,5) IC:Inf -> (2,5) IC:5568.64"
"run_28","(2,2) IC:5515.88 -> (0,0) IC:6238.73 -> (1,0) IC:5554.23 -> (0,1) IC:6240.76 -> (1,1) IC:5515.76 -> (2,1) IC:5518.28 -> (1,2) IC:5516.42 -> (0,2) IC:Inf -> (2,0) IC:5516.08"
"run_29","(2,2) IC:5568.76 -> (0,0) IC:6363.16 -> (1,0) IC:5597.69 -> (0,1) IC:Inf -> (1,1) IC:5575.38 -> (1,2) IC:5567.66 -> (0,2) IC:Inf -> (1,3) IC:5565.67 -> (0,3) IC:Inf -> (2,3) IC:5571.80 -> (1,4) IC:5549.20 -> (0,4) IC:Inf -> (2,4) IC:5563.85 -> (1,5) IC:5548.30 -> (0,5) IC:Inf -> (2,5) IC:5550.42 -> (1,6) IC:5550.22 -> (0,6) IC:Inf -> (2,6) IC:5552.50"
"run_30","(2,2) IC:5514.46 -> (0,0) IC:6357.80 -> (1,0) IC:5536.97 -> (0,1) IC:Inf -> (1,1) IC:5513.72 -> (2,1) IC:5512.54 -> (2,0) IC:5511.22 -> (3,0) IC:5512.23 -> (3,1) IC:5514.14"
"run_31","(2,2) IC:5622.22 -> (0,0) IC:6449.04 -> (1,0) IC:5652.72 -> (0,1) IC:Inf -> (1,1) IC:5617.34 -> (2,1) IC:5619.13 -> (1,2) IC:5619.36 -> (0,2) IC:Inf -> (2,0) IC:5617.53"
"run_32","(2,2) IC:5808.65 -> (0,0) IC:6743.25 -> (1,0) IC:5836.18 -> (0,1) IC:Inf -> (1,1) IC:5810.12 -> (1,2) IC:5808.13 -> (0,2) IC:Inf -> (1,3) IC:5774.96 -> (0,3) IC:Inf -> (2,3) IC:5805.33 -> (1,4) IC:5739.41 -> (0,4) IC:Inf -> (2,4) IC:5740.41 -> (1,5) IC:5740.09 -> (0,5) IC:Inf -> (2,5) IC:5741.57"
"run_33","(2,2) IC:5767.09 -> (0,0) IC:6576.87 -> (1,0) IC:5794.95 -> (0,1) IC:6578.84 -> (1,1) IC:5769.62 -> (1,2) IC:5766.04 -> (0,2) IC:Inf -> (1,3) IC:5759.84 -> (0,3) IC:Inf -> (2,3) IC:5765.00 -> (1,4) IC:5734.28 -> (0,4) IC:Inf -> (2,4) IC:5754.65 -> (1,5) IC:5725.95 -> (0,5) IC:Inf -> (2,5) IC:5725.69 -> (3,5) IC:5720.54 -> (3,4) IC:5719.67 -> (3,3) IC:5756.59 -> (4,4) IC:5761.24 -> (4,3) IC:5759.04 -> (4,5) IC:5708.87 -> (5,5) IC:5723.27 -> (4,6) IC:5721.65 -> (3,6) IC:5719.84 -> (5,4) IC:5762.57 -> (5,6) IC:5721.48"
"run_34","(2,2) IC:5461.73 -> (0,0) IC:6195.01 -> (1,0) IC:5491.39 -> (0,1) IC:6196.98 -> (1,1) IC:5459.04 -> (2,1) IC:5459.29 -> (1,2) IC:5460.32 -> (0,2) IC:Inf -> (2,0) IC:5457.15 -> (3,0) IC:5459.29 -> (3,1) IC:5461.30"
"run_35","(2,2) IC:5574.97 -> (0,0) IC:6337.00 -> (1,0) IC:5638.02 -> (0,1) IC:6339.00 -> (1,1) IC:5594.55 -> (1,2) IC:5579.26 -> (2,1) IC:5581.51 -> (3,2) IC:5573.00 -> (3,1) IC:5581.40 -> (4,2) IC:5564.85 -> (4,1) IC:5579.18 -> (5,2) IC:5549.74 -> (5,1) IC:5553.26 -> (6,2) IC:5551.25 -> (5,3) IC:5557.97 -> (4,3) IC:5572.25 -> (6,1) IC:5550.47 -> (6,3) IC:5547.66 -> (7,3) IC:5548.67 -> (6,4) IC:5548.02 -> (5,4) IC:5546.02 -> (4,4) IC:5544.57 -> (3,4) IC:5543.85 -> (2,4) IC:5560.34 -> (3,3) IC:5556.00 -> (3,5) IC:5551.32 -> (2,3) IC:5554.00 -> (2,5) IC:5548.92 -> (4,5) IC:5546.25"
"run_36","(2,2) IC:5777.34 -> (0,0) IC:6807.46 -> (1,0) IC:5822.31 -> (0,1) IC:6809.57 -> (1,1) IC:5774.91 -> (2,1) IC:5775.48 -> (1,2) IC:5776.48 -> (0,2) IC:6811.68 -> (2,0) IC:5773.29 -> (3,0) IC:5775.34 -> (3,1) IC:5771.15 -> (4,1) IC:5771.52 -> (3,2) IC:5770.56 -> (4,2) IC:5774.99 -> (3,3) IC:5771.66 -> (2,3) IC:5776.89 -> (4,3) IC:5786.93"
"run_37","(2,2) IC:5767.80 -> (0,0) IC:6805.49 -> (1,0) IC:5853.14 -> (0,1) IC:Inf -> (1,1) IC:5764.65 -> (2,1) IC:5765.50 -> (1,2) IC:5767.82 -> (0,2) IC:Inf -> (2,0) IC:5765.51"
"run_38","(2,2) IC:5652.98 -> (0,0) IC:6429.09 -> (1,0) IC:5696.47 -> (0,1) IC:Inf -> (1,1) IC:5654.98 -> (1,2) IC:5652.95 -> (0,2) IC:6433.16 -> (1,3) IC:5644.29 -> (0,3) IC:Inf -> (2,3) IC:5654.72 -> (1,4) IC:5633.84 -> (0,4) IC:Inf -> (2,4) IC:5697.72 -> (1,5) IC:5635.19 -> (0,5) IC:Inf -> (2,5) IC:5635.46"
"run_39","(2,2) IC:5770.24 -> (0,0) IC:6719.15 -> (1,0) IC:5823.60 -> (0,1) IC:Inf -> (1,1) IC:5766.25 -> (2,1) IC:5771.89 -> (1,2) IC:5768.05 -> (0,2) IC:6723.15 -> (2,0) IC:5766.65"
