"Simulation_ID","Path_Taken"
"run_15","(2,2) IC:6768.63 -> (0,0) IC:6916.41 -> (1,0) IC:6807.09 -> (0,1) IC:Inf -> (1,1) IC:6790.49 -> (1,2) IC:6774.89 -> (2,1) IC:6767.77 -> (2,0) IC:6804.48 -> (3,1) IC:6769.02 -> (3,0) IC:6793.07 -> (3,2) IC:6764.45 -> (4,2) IC:6766.43 -> (3,3) IC:6777.33 -> (2,3) IC:6770.19 -> (4,1) IC:6769.85 -> (4,3) IC:6758.51 -> (5,3) IC:6760.51 -> (4,4) IC:6769.50 -> (3,4) IC:6763.67 -> (5,2) IC:6768.20 -> (5,4) IC:6767.39"
"run_16","(2,2) IC:6753.14 -> (0,0) IC:6901.66 -> (1,0) IC:6817.02 -> (0,1) IC:Inf -> (1,1) IC:6780.79 -> (1,2) IC:6772.31 -> (2,1) IC:6751.34 -> (2,0) IC:6804.68 -> (3,1) IC:6752.72 -> (3,0) IC:6803.68 -> (3,2) IC:6762.18"
"run_17","(2,2) IC:7010.90 -> (0,0) IC:7271.48 -> (1,0) IC:7111.35 -> (0,1) IC:7273.48 -> (1,1) IC:7014.89 -> (1,2) IC:7005.22 -> (0,2) IC:Inf -> (1,3) IC:6997.26 -> (0,3) IC:Inf -> (2,3) IC:7004.56 -> (1,4) IC:6995.93 -> (0,4) IC:Inf -> (2,4) IC:7002.73 -> (1,5) IC:6972.94 -> (0,5) IC:Inf -> (2,5) IC:6974.44 -> (1,6) IC:6974.18 -> (0,6) IC:Inf -> (2,6) IC:6989.55"
"run_18","(2,2) IC:6869.57 -> (0,0) IC:7033.69 -> (1,0) IC:6927.00 -> (0,1) IC:Inf -> (1,1) IC:6898.27 -> (1,2) IC:6890.56 -> (2,1) IC:6867.88 -> (2,0) IC:6915.03 -> (3,1) IC:6869.64 -> (3,0) IC:6914.41 -> (3,2) IC:6901.49"
"run_19","(2,2) IC:6590.47 -> (0,0) IC:6801.74 -> (1,0) IC:6645.77 -> (0,1) IC:6803.74 -> (1,1) IC:6589.20 -> (2,1) IC:6605.05 -> (1,2) IC:6583.93 -> (0,2) IC:Inf -> (1,3) IC:6570.16 -> (0,3) IC:Inf -> (2,3) IC:6570.60 -> (1,4) IC:6541.12 -> (0,4) IC:Inf -> (2,4) IC:6570.36 -> (1,5) IC:6525.87 -> (0,5) IC:Inf -> (2,5) IC:6525.96 -> (1,6) IC:6526.29 -> (0,6) IC:Inf -> (2,6) IC:6565.06"
"run_20","(2,2) IC:6750.04 -> (0,0) IC:6889.49 -> (1,0) IC:6800.94 -> (0,1) IC:Inf -> (1,1) IC:6750.16 -> (1,2) IC:6744.10 -> (0,2) IC:Inf -> (1,3) IC:6729.31 -> (0,3) IC:Inf -> (2,3) IC:6746.68 -> (1,4) IC:6728.62 -> (0,4) IC:Inf -> (2,4) IC:6730.49 -> (1,5) IC:6721.44 -> (0,5) IC:Inf -> (2,5) IC:6716.62 -> (3,5) IC:6716.67 -> (2,6) IC:6719.60 -> (1,6) IC:6720.43 -> (3,4) IC:6731.98 -> (3,6) IC:6721.60"
"run_21","(2,2) IC:6903.60 -> (0,0) IC:7357.02 -> (1,0) IC:7046.53 -> (0,1) IC:7359.00 -> (1,1) IC:6905.32 -> (1,2) IC:6898.74 -> (0,2) IC:7360.98 -> (1,3) IC:6885.66 -> (0,3) IC:Inf -> (2,3) IC:6886.78 -> (1,4) IC:6881.10 -> (0,4) IC:Inf -> (2,4) IC:6886.27 -> (1,5) IC:6846.59 -> (0,5) IC:Inf -> (2,5) IC:6925.98 -> (1,6) IC:6845.25 -> (0,6) IC:Inf -> (2,6) IC:6905.77 -> (1,7) IC:6846.19 -> (0,7) IC:Inf -> (2,7) IC:6850.32"
"run_22","(2,2) IC:6956.14 -> (0,0) IC:7350.66 -> (1,0) IC:7082.91 -> (0,1) IC:7352.65 -> (1,1) IC:6955.84 -> (2,1) IC:6933.58 -> (2,0) IC:7036.66 -> (3,1) IC:6935.25 -> (1,2) IC:6945.88 -> (3,0) IC:7003.41 -> (3,2) IC:6937.47"
"run_23","(2,2) IC:6716.53 -> (0,0) IC:6937.51 -> (1,0) IC:6776.27 -> (0,1) IC:Inf -> (1,1) IC:6750.18 -> (1,2) IC:6735.77 -> (2,1) IC:6714.80 -> (2,0) IC:6763.73 -> (3,1) IC:6747.23 -> (3,0) IC:6745.30 -> (3,2) IC:6747.80"
"run_24","(2,2) IC:6608.15 -> (0,0) IC:6835.90 -> (1,0) IC:6700.57 -> (0,1) IC:Inf -> (1,1) IC:6628.43 -> (1,2) IC:6622.77 -> (2,1) IC:6606.95 -> (2,0) IC:6669.31 -> (3,1) IC:6606.17 -> (3,0) IC:6664.43 -> (4,1) IC:6607.44 -> (3,2) IC:6607.94 -> (4,0) IC:6664.39 -> (4,2) IC:6608.14"
"run_25","(2,2) IC:6619.33 -> (0,0) IC:7058.58 -> (1,0) IC:6804.61 -> (0,1) IC:Inf -> (1,1) IC:6618.81 -> (2,1) IC:6605.50 -> (2,0) IC:6732.73 -> (3,1) IC:6605.02 -> (3,0) IC:6719.70 -> (4,1) IC:6603.59 -> (4,0) IC:6703.58 -> (5,1) IC:6604.40 -> (4,2) IC:6606.94 -> (3,2) IC:6605.51 -> (5,0) IC:6692.93 -> (5,2) IC:6604.11"
"run_26","(2,2) IC:6674.29 -> (0,0) IC:6931.83 -> (1,0) IC:6763.09 -> (0,1) IC:Inf -> (1,1) IC:6697.95 -> (1,2) IC:6688.65 -> (2,1) IC:6672.54 -> (2,0) IC:6739.38 -> (3,1) IC:6674.22 -> (3,0) IC:6731.74 -> (3,2) IC:6672.96"
"run_27","(2,2) IC:6707.41 -> (0,0) IC:6883.63 -> (1,0) IC:6771.99 -> (0,1) IC:6885.63 -> (1,1) IC:6724.12 -> (1,2) IC:6714.32 -> (2,1) IC:6705.42 -> (2,0) IC:6760.76 -> (3,1) IC:6707.42 -> (3,0) IC:6749.88 -> (3,2) IC:6723.25"
"run_28","(2,2) IC:6894.66 -> (0,0) IC:7273.04 -> (1,0) IC:7045.45 -> (0,1) IC:Inf -> (1,1) IC:6913.15 -> (1,2) IC:6906.40 -> (2,1) IC:6893.11 -> (2,0) IC:6995.04 -> (3,1) IC:6893.74 -> (3,0) IC:6976.32 -> (3,2) IC:6895.72"
"run_29","(2,2) IC:6670.04 -> (0,0) IC:6980.40 -> (1,0) IC:6809.20 -> (0,1) IC:6982.40 -> (1,1) IC:6668.97 -> (2,1) IC:6657.20 -> (2,0) IC:6751.74 -> (3,1) IC:6655.62 -> (3,0) IC:6730.42 -> (4,1) IC:6657.43 -> (3,2) IC:6659.90 -> (4,0) IC:6724.94 -> (4,2) IC:6657.80"
"run_30","(2,2) IC:6839.47 -> (0,0) IC:7033.73 -> (1,0) IC:6903.18 -> (0,1) IC:Inf -> (1,1) IC:6864.30 -> (1,2) IC:6859.39 -> (2,1) IC:6838.68 -> (2,0) IC:6878.16 -> (3,1) IC:6840.28 -> (3,0) IC:6874.55 -> (3,2) IC:6844.18"
