"method","total_sims","successful_fits","mean_p_order","median_p_order","sd_p_order","mean_q_order","median_q_order","sd_q_order","mean_time_secs","median_time_secs","sd_time_secs","mean_fitted_models","median_fitted_models","sd_fitted_models","failure_count"
"grid_search",1000,1000,3.181,3,2.12007870932514,4.754,5,1.43091982009179,169.001677,168.2605,9.73833964090553,64,64,0,0
"stepwise",1000,1000,1.448,1,0.629040294171758,3.16,4,2.16450573690279,26.368009,25.6855000000001,10.2210073393943,,,,0
