"method","total_sims","successful_fits","mean_p","median_p","sd_p","mean_q","median_q","sd_q","mean_time_secs","median_time_secs","sd_time_secs","mean_models_tested","median_models_tested","sd_models_tested","failure_count","mean_intercept","mean_sigmasq"
"grid_search",1000,1000,3.123,3,1.81305216641942,6.158,6,0.741340397918247,383.348047583103,351.750406384468,108.49602923657,64,64,0,0,0.112138847252909,0.0221030583102547
"stepwise",1000,1000,1.649,2,0.719942579180671,4.315,5,2.05718424235823,84.83064980793,83.3673865795135,39.2347691879991,,,,0,0.0801567758213854,0.0244345193854801
