method,mean_p,median_p,sd_p,mean_q,median_q,sd_q,mean_time,median_time,sd_time,mean_models_tested,median_models,sd_models_tested
grid_search,1.89,1.0,1.6032686831814777,5.711,6.0,1.6012629524981357,3101.8924502248765,3011.675989985466,913.361887882521,64.0,64.0,0.0
stepwise,1.512,1.0,0.7952914487711328,2.889,3.0,1.5261087798738358,1057.366379617691,1011.1765670776367,578.7134618021336,12.58,12.0,2.9890691752675367
