"method","total_sims","successful_fits","mean_p_order","median_p_order","sd_p_order","mean_q_order","median_q_order","sd_q_order","mean_time_secs","median_time_secs","sd_time_secs","mean_fitted_models","median_fitted_models","sd_fitted_models","failure_count"
"grid_search",1000,1000,2.642,2,1.95439393563725,5.926,6,0.820485951858529,128.81771,124.325,12.772364367941,64,64,0,0
"stepwise",1000,1000,2.453,2,1.22527233392919,2.142,1,1.79918678104111,23.91327,19.0299999999995,12.3653366617273,15.389,13,5.70949010659247,0
