"method","total_sims","successful_fits","mean_p_order","median_p_order","sd_p_order","mean_q_order","median_q_order","sd_q_order","mean_time_secs","median_time_secs","sd_time_secs","mean_fitted_models","median_fitted_models","sd_fitted_models","failure_count"
"grid_search",1000,1000,3.19,3,2.13083092723014,4.752,5,1.43894633901566,119.45014,116.429999999999,12.5884265682358,64,64,0,0
"stepwise",1000,1000,2.739,2,1.73490313530436,1.5,1,1.84374602356165,20.31336,13.9449999999998,11.7951128183158,14.545,11,5.58526366165199,0
