method,total_sims,successful_fits,mean_p,median_p,sd_p,mean_q,median_q,sd_q,mean_time_secs,median_time_secs,sd_time_secs,mean_models_tested,median_models_tested,sd_models_tested,failure_count,mean_intercept,mean_sigmasq
grid_search,1000,1000,3.123,3,1.813052166,6.158,6,0.741340398,383.3480476,351.7504064,108.4960292,64,64,0,0,0.112138847,0.022103058
stepwise,1000,1000,2.16,2,0.933419129,3.129,3,2.164496256,87.59859205,71.86207294,54.61110419,17.326,16,6.364293223,0,0.063221062,0.025258314
