"method"     , "sim_id", "p_order", "q_order", "time"           , "n_models_tested", "aic"           , "bic"           , "intercept"        , "sigmasq"         , "beta1"           , "beta2"            , "beta3"            , "beta4"          , "alpha1"           , "alpha2"            , "alpha3"          , "alpha4"         , "status" , "error_message"
"stepwise"   ,       27,         1,         0,  7.22000000000116,                 6, 1997.60750401538, 2010.25132831065, 0.70467059825203   , 0.0754587807247443, 0.279861775805528 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       28,         1,         0,  6.78000000000247,                 6, 1961.55664662944, 1974.20047092471, 0.872209015412869  , 0.0456116691910726, 0.150235748745518 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       29,         1,         0,  6.89999999999782,                 6, 2043.82109209627, 2056.46491639154, 0.934797675228692  , 0.147377286735988 , 0.113977533095418 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       30,         1,         0,  6.97000000000116,                 6, 2067.76677941401, 2080.41060370927, 0.818463623389195  , 0.177726892613199 , 0.212122701821453 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       31,         1,         0,  8.34000000000015,                 6, 1959.34237583678, 1971.98620013204, 0.731239026692351  , 0.056010979609    , 0.247743907857637 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       32,         1,         0,  7.09000000000015,                 6, 2004.34117648247, 2016.98500077773, 0.790720488031209  , 0.0802629914710213, 0.220545122732316 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       33,         1,         1,  9.36999999999898,                 8, 2028.14217657991, 2045.0006089736 , 0.191180365433342  , 0.115367281450834 , 0.0919688660335159,                    ,                    ,                  , 0.713314665830041  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       34,         1,         1,  9.34000000000015,                 8, 2037.09143716688, 2053.94986956057, 0.444811949177334  , 0.143216574159573 , 0.243160049008672 ,                    ,                    ,                  , 0.303190183204975  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       35,         1,         1,  8.88999999999942,                 8, 2006.82622311889, 2023.68465551258, 0.134295691842002  , 0.117005328409067 , 0.113526914286868 ,                    ,                    ,                  , 0.738392983102488  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       36,         1,         1,  9.88999999999942,                 8, 2016.33165327967, 2033.19008567336, 0.0986772625915741 , 0.10292048897617  , 0.177720088185561 ,                    ,                    ,                  , 0.703318643857233  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       37,         1,         0,  7.06999999999971,                 6, 2000.55102507363, 2013.19484936889, 0.72916940045129   , 0.0699868501400147, 0.290436192529687 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       38,         1,         2, 12.869999999999  ,                11, 2016.16159876086, 2037.23463925297, 0.266927884261669  , 0.0693446294311425, 0.206991535485016 ,                    ,                    ,                  , -0.0260138134670827, 0.54363473261098    ,                   ,                  , "Success", ""
"stepwise"   ,       39,         1,         0,  6.22000000000116,                 6, 1979.76126365683, 1992.4050879521 , 0.667672639263049  , 0.138426241034881 , 0.282161026348278 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       40,         2,         1, 11.2700000000004 ,                 9, 2016.95589773554, 2038.02893822765, 0.0422434160947962 , 0.0948060028813789, 0.100894836199844 , -0.13588240027947  ,                    ,                  , 0.999988135079209  ,                     ,                   ,                  , "Success", ""
